name,ret_5,ret_60
VPT_1,-0.9433015326218391,-0.4271159144003335
GARCH_252_20,-0.9952755665111114,-0.5264771545506752
EWMA_0.97,-0.9198090452129686,-0.5814990211842903
Parkinson_60,-0.8215860761938172,-0.5980853931132533
HV_60,-0.8921818449277558,-0.6350401750340879
Intraday_Range_20,-0.979346992257005,-0.6630096478341512
GK_20,-0.9821770386953338,-0.6990516223841083
YZ_20,-0.9862441151732352,-0.7084087421853736
EWMA_0.94,-0.9858503877569563,-0.7091842829679171
RS_20,-0.9851833865122416,-0.7097839138707285
ATR_14,-0.9946602663490312,-0.7111387061959902
Parkinson_20,-0.988440061005169,-0.7202867613045931
OBV_1,-0.9909106921237281,-0.7249515908046594
OBV_5,-0.990962708501331,-0.7249515908046594
ATR_7,-0.9999045400483241,-0.7283092771510435
AD_Line_1,-0.9918883992497707,-0.7571210451227659
RV_20,-0.9959621992083996,-0.7586083837234496
HV_20,-0.9964084458346361,-0.769329932493763
CCV_20,-0.9964019304068006,-0.769329932493763
Overnight_Gap_20,-0.998928109137405,-0.8079587326818809
Price_Acceleration_10,-0.9999999999965189,-0.8368837112680417
PSAR_0.02_0.2,-0.9999999891909508,-0.8392545113129627
NVI,-0.999998940234503,-0.8397684705087229
Vol_Kurtosis_60,-0.9990674233456648,-0.8595200621172059
PVI,-0.9999974492366346,-0.8615983117851899
SMA_Cross_5_60,-0.9999999999961087,-0.865749135466148
Ichimoku_9_26,-0.999999982393822,-0.8712540994643764
Momentum_20,-0.9999993802777676,-0.8763167025180749
ROC_20,-0.9999993802777676,-0.8763167025180749
Trend_Strength_5_10_20_60,-0.9999999997020209,-0.8773390917160321
Volume_Oscillator_5_20,-0.9999999999969393,-0.879369252323858
Volume_Trend_5_20,-0.9999999999969393,-0.879369252323858
VWAP_20,-0.9999999814713205,-0.8796546143970285
CCI_14,-0.9999999999996043,-0.8822163391033475
Force_Index_13,-0.999999979896905,-0.8823725003324593
SMA_Cross_10_30,-0.9999999999982769,-0.8828867621018659
Volume_Ratio_20,-0.9999999999979744,-0.8850272818422424
Volume_Ratio_10,-0.9999999999992341,-0.8911896861696065
Vol_Regime_10_30,-0.9999999995111027,-0.8945721997951571
BB_Width_20_2.0,-0.9999999998516876,-0.8947436821146832
WilliamsR_7,-0.9999999999992337,-0.8985857608951411
ROC_10,-0.9999999948514222,-0.8991538023502846
Momentum_10,-0.9999999948514222,-0.8991538023502846
VWAP_10,-0.9999999998080381,-0.8996131194769621
CCI_20,-0.9999999999887726,-0.9005944533526392
Stochastic_14_3_3,-0.999999999988908,-0.9031167404292573
WilliamsR_14,-0.999999999988908,-0.9031167404292573
VWAP_Trend_20,-0.9999694350967918,-0.9034467550945156
BB_Position_20_2.5,-0.9999999999794443,-0.903990826427494
BB_Position_20_2.0,-0.9999999999794443,-0.903990826427494
MFI_Velocity_14_5,-0.9999999999998676,-0.9044664417376106
Money_Flow_20,-0.9999995168242471,-0.9045320888392654
Donchian_10,-0.9999999999971578,-0.9045539117538717
MACD_12_26_9,-0.9999999882148373,-0.9049474644021569
Vol_Trend_20,-0.9999999833836921,-0.9052281604998679
Chaikin_Osc_3_10,-0.9999999987473128,-0.9066209166375161
Donchian_20,-0.9999999999225789,-0.9111563107782655
MFI_14,-0.9999999876649245,-0.9113138744015414
Buying_Pressure_20,-0.9999996645915332,-0.9113625748174213
Keltner_20_14_2.0,-0.9999999993062402,-0.9135262640672147
Vol_Skewness_60,-0.9988239851274388,-0.9142698167088288
Vol_Percentile_20_252,-0.9999856647785165,-0.9147423410118205
Vol_Cone_20_252,-0.9999860878500942,-0.915363581790437
ATR_Ratio_14_100,-0.9999963667955297,-0.9171201677788904
BB_Squeeze_20_2.0_120,-0.9999999424172762,-0.9180023863794466
Stochastic_Cross_14_3,-0.9999999999999277,-0.9217927352835045
MFI_7,-0.9999999999906566,-0.9226228455459409
EOM_14,-0.9999999813751417,-0.9226821386270905
VWAP_Deviation_20,-0.9999999994491257,-0.9234071724590572
RSI_7,-0.9999999999967069,-0.9240005310013945
OBV_Velocity_10,-0.9999999996707657,-0.9265856354358756
ADX_14,-0.999998427675547,-0.9272994647745455
ADX_20,-0.9999554343932732,-0.9273979529030854
RSI_14,-0.9999999987145538,-0.9275446337639139
