round,expr_str,ic_5,ic_60,ret_5,ret_60,fitness
0,"ts_corr(ts_corr(sign((opensubhigh)),(log(ts_corr(close,((ts_min(close,20)subneg(high))mulopen),30))mulhigh),30),low,60)",-0.012030213245949196,-0.010919538116715512,0.2590294872825809,0.25590743708992525,0.18367038623477686
1,"ts_corr(abs(volume),((ts_ema((ts_ema(ts_ema(ts_sum(ts_ema((ts_min(((ts_mean(low,30)addlog(open))mulhigh),10)divts_corr(neg(ts_min(open,5)),ts_ema(neg((sign(low)divts_std(open,5))),60),60)),20),60),10),20)divts_corr(close,ts_ema(neg((sign(low)divts_std(open,5))),60),60)),20)divts_corr(close,high,60))divlog(ts_ema(high,60))),30)",0.01182362134809697,-0.005798921471592066,0.26201279143210776,0.25590743708992525,0.18391546140566492
2,"ts_mean((log(abs(((ts_min(high,60)addhigh)addneg((ts_delta(ts_min(open,60),5)divclose)))))divts_min(open,60)),10)",0.00859173793046672,0.02944643677328832,0.16267894488317913,0.18826076027572314,0.12853462301117904
3,"ts_max(ts_max((ts_ema(ts_mean(ts_max(ts_max((neg(ts_sum(ts_max(sign(open),20),20))subneg(ts_sum(ts_min(ts_min(((ts_corr(low,ts_delta(close,30),10)sub(log(ts_delta(low,20))subneg(ts_delta(high,5))))addts_max(open,60)),60),10),20))),60),60),60),20)subts_ema(ts_mean(low,60),20)),60),60)",-0.00777500374325588,-0.024395191726107348,0.2698197032122156,0.3206792716142761,0.21150017050967657
4,"ts_ema(ts_max(ts_max(log(ts_ema(ts_max(log(ts_ema(ts_mean(ts_max(log(ts_ema(ts_max(log(ts_max(log(ts_ema(ts_max(log(ts_ema(high,60)),60),60)),60)),60),60)),60),30),30)),60),60)),60),60),60)",-0.00673964126452981,-0.019594040543201807,0.3368660292395407,0.3029191635227424,0.2278748697379588
5,"(ts_sum(ts_min(ts_min(ts_min(ts_ema(ts_sum(ts_min(open,60),30),20),60),60),60),30)addts_sum(ts_sum(ts_corr(ts_min(ts_min(ts_min(ts_ema(ts_sum(ts_min(open,60),30),20),60),60),60),(lowmul((ts_std(ts_sum(ts_sum(ts_corr(sign(high),(opensublow),20),20),10),30)divts_ema(ts_corr(ts_delta(ts_delta((highaddvolume),30),20),(neg(neg(open))divts_std(ts_ema(low,30),10)),60),20))mul(ts_sum(high,20)subopen))),5),30),30))",-0.01650237015487923,-0.029473226816582196,0.3497979094644901,0.1481344210264932,0.18117265521756337
6,"ts_ema((ts_corr(sign(ts_corr(ts_mean(high,20),ts_corr(open,sign(ts_corr(ts_min(open,30),ts_std((((closedivsign(volume))addhigh)mulclose),60),60)),30),60)),ts_sum(close,60),60)add(ts_corr(sign(ts_corr(ts_mean(high,20),ts_mean(low,60),60)),ts_sum(close,60),60)addts_mean(low,60))),30)",-0.008498572926279355,-0.028361902754016417,0.16696284521463012,0.2002388930416863,0.1340496797417551
7,"ts_min(ts_corr(high,ts_corr((neg((ts_corr(ts_corr((log(ts_corr(open,(openmul(volumediv((highdivhigh)mulsign(low)))),30))subhigh),ts_corr(volume,volume,10),30),volume,10)addts_corr(ts_max(low,5),ts_max((ts_mean(ts_corr(volume,volume,10),10)addts_corr(ts_corr((ts_sum(open,20)mults_sum(volume,20)),(lowdivopen),20),ts_min(ts_min(ts_min(volume,10),30),30),20)),60),20)))subhigh),ts_corr(close,ts_corr(high,ts_corr((openmullow),ts_corr(ts_corr((openmullow),ts_corr(high,ts_corr((log(ts_corr(open,((((opensub(highsubhigh))subts_corr(sign(close),ts_corr(open,close,10),20))mults_max((sign(close)divvolume),60))mullow),30))subhigh),ts_corr(volume,volume,10),30),20),30),volume,10),30),20),30),30),20),30)",-0.016684322564082844,-0.03560743662991358,0.30084482427030745,0.2916501689639335,0.21521701151108377
8,"ts_min(abs(ts_min(abs(ts_min((ts_ema(abs(ts_ema(ts_sum(((ts_ema(volume,10)add(ts_max((highsubclose),20)addts_min(ts_max(close,5),60)))add(ts_max((highsubclose),20)addts_min(ts_max(close,5),60))),5),10)),30)mulsign(((volumeaddts_sum(volume,60))mul(highmults_min(low,30))))),60)),60)),5)",-0.008640373137389605,-0.02874766285543246,0.24953851060270438,0.26587677852778446,0.1860035565945944
9,"ts_max(ts_max(ts_max(ts_max((ts_max(ts_max(ts_ema(ts_min(ts_mean(ts_mean(open,20),20),5),5),20),20)addts_ema((log(open)mults_mean(ts_max(ts_max(ts_max(ts_max((ts_max(ts_max(ts_mean(abs(volume),5),20),20)addts_ema((log(open)mults_max(ts_max(ts_max(ts_max(ts_max(ts_max((ts_max(ts_max(ts_ema(ts_min(ts_mean(ts_mean(open,20),20),5),5),20),20)addts_ema((log(open)mults_mean((ts_min(ts_mean(ts_mean(open,20),20),5)div(ts_max(open,20)divclose)),20)),60)),30),60),20),60),20),30)),60)),30),60),20),30),20)),60)),30),60),20),30)",-0.007359420051130694,-0.02288532815805254,0.3536585025821346,0.35020181643919135,0.25088782388884157
