experiment_id	top_n	n_quantiles	weight_mode	oos_metric	oos_weight_5	seed	oos_return_avg	oos_return_5	oos_return_60	oos_sharpe_5	oos_sharpe_60	oos_max_drawdown_5	oos_max_drawdown_60	oos_turnover_5	oos_turnover_60	fee_bps	best_exprs_sha256	data_end_ts	runner_version	status	description	timestamp
0	40	3	ic_weighted	avg	0.5	112449972	0.24774225685980444	0.19932870935796565	0.29615580436164324	3.7631042096351606	5.364010775032817	-0.06871127566363622	-0.05145692659838497	0.009954855886097928	0.08066759388038942	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=40 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:01:36
1	45	3	ic_weighted	avg	0.5	574832346	0.25349026178475	0.20021275821706164	0.3067677653524383	3.748713486685451	5.5452868453413195	-0.06871127566363622	-0.0514569265983853	0.008565806227572637	0.07788595271210014	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=45 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:01:44
2	50	3	ic_weighted	avg	0.5	231284486	0.25349026178475	0.20021275821706164	0.3067677653524383	3.748713486685451	5.5452868453413195	-0.06871127566363622	-0.0514569265983853	0.008565806227572637	0.07788595271210014	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=50 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:01:53
3	35	3	ic_weighted	avg	0.5	731858620	0.18853952335509705	0.1962266407210851	0.180852405989109	3.6734405447795346	3.5307630040059945	-0.0747180792974963	-0.06093540348626403	0.01250144692672763	0.0917941585535466	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=35 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:02:02
4	50	5	ic_weighted	avg	0.5	1204656741	0.16224479011108361	0.15309435298484142	0.1713952272373258	3.720537094559662	4.133247071939659	-0.06264763792782624	-0.05145692659838497	0.006597985877995138	0.05702364394993046	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=50 n_quantiles=5 weight=ic_weighted metric=avg	2026-03-09 22:02:11
5	50	3	equal	avg	0.5	1506867353	0.2806828904019356	0.24265956592465843	0.3187062148792128	4.499942823395368	5.784112951831839	-0.06332798418505425	-0.051456926598384745	0.007639773121889107	0.061196105702364396	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=50 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:02:20
6	45	3	equal	avg	0.5	305318640	0.2806828904019356	0.24265956592465843	0.3187062148792128	4.499942823395368	5.784112951831839	-0.06332798418505425	-0.051456926598384745	0.007639773121889107	0.061196105702364396	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=45 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:02:29
7	45	5	equal	avg	0.5	626638979	0.21125142767298843	0.20289447849691133	0.21960837684906553	4.745159120533068	5.158657904387884	-0.056339701585019886	-0.05145692659838508	0.005208936219469846	0.048678720445062586	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=45 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:02:38
8	40	3	equal	avg	0.5	1231384489	0.25452363326484617	0.2144450481302851	0.29460221839940726	4.023326148838812	5.397455352080153	-0.06332798418505614	-0.05145692659838508	0.007408264845468225	0.06397774687065369	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=40 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:02:47
9	15	3	equal	avg	0.5	1558703411	0.19813160868525015	0.1922051298332872	0.2040580875372131	3.6228750890516475	3.9293445856007656	-0.07164739853941637	-0.05846257501668284	0.014353513138094687	0.10152990264255911	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=15 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:02:56
