experiment_id	top_n	n_quantiles	weight_mode	oos_metric	oos_weight_5	seed	oos_return_avg	oos_return_5	oos_return_60	oos_sharpe_5	oos_sharpe_60	oos_max_drawdown_5	oos_max_drawdown_60	oos_turnover_5	oos_turnover_60	fee_bps	best_exprs_sha256	data_end_ts	runner_version	status	description	timestamp
0	40	3	ic_weighted	avg	0.5	112449972	0.2066720692866728	0.22862708114130226	0.18471705743204336	9.765955041984371	6.895561527644199	-0.06962807492949041	-0.06343930154968191	0.007641542202153525	0.07112970711297072	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=40 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:31
1	45	3	ic_weighted	avg	0.5	574832346	0.2066720692866728	0.22862708114130226	0.18471705743204336	9.765955041984371	6.895561527644199	-0.06962807492949041	-0.06343930154968191	0.007641542202153525	0.07112970711297072	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=45 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:35
2	50	3	ic_weighted	avg	0.5	231284486	0.22072566159595863	0.22552184905378736	0.2159294741381299	9.585280077605674	7.9846587089387056	-0.0696280749294903	-0.05904013899521654	0.006252170892671066	0.07112970711297072	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=50 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:38
3	35	3	ic_weighted	avg	0.5	731858620	0.2190881109557109	0.20715366646521005	0.23102255544621175	8.953793667437932	8.485974505704302	-0.06962807492949019	-0.06002612462881396	0.009030913511635985	0.0794979079497908	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=35 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:41
4	50	5	ic_weighted	avg	0.5	1204656741	0.11960531177320277	0.11153363108781167	0.12767699245859387	6.297804500157957	6.161916558437188	-0.05791145926696584	-0.04540168996614935	0.003126085446335533	0.03765690376569038	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=50 n_quantiles=5 weight=ic_weighted metric=avg	2026-03-09 21:47:45
5	50	3	equal	avg	0.5	1506867353	0.220414979088555	0.2249004840389801	0.2159294741381299	9.554848410186404	7.9846587089387056	-0.06962807492948975	-0.05904013899521654	0.006252170892671066	0.07112970711297072	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=50 n_quantiles=3 weight=equal metric=avg	2026-03-09 21:47:48
6	15	3	ic_weighted	avg	0.5	305318640	0.20968568003624566	0.21144355777146884	0.20792780230102248	9.0049662764597	7.654566861826671	-0.07870906327945515	-0.0682437792594861	0.007641542202153525	0.07112970711297072	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=15 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:51
7	10	3	ic_weighted	avg	0.5	1785855699	0.20968568003624566	0.21144355777146884	0.20792780230102248	9.0049662764597	7.654566861826671	-0.07870906327945515	-0.0682437792594861	0.007641542202153525	0.07112970711297072	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:55
8	35	3	ic_weighted	avg	0.5	1708826948	0.2190881109557109	0.20715366646521005	0.23102255544621175	8.953793667437932	8.485974505704302	-0.06962807492949019	-0.06002612462881396	0.009030913511635985	0.0794979079497908	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=35 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 21:47:58
9	50	5	ic_weighted	avg	0.5	1871305795	0.11960531177320277	0.11153363108781167	0.12767699245859387	6.297804500157957	6.161916558437188	-0.05791145926696584	-0.04540168996614935	0.003126085446335533	0.03765690376569038	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=50 n_quantiles=5 weight=ic_weighted metric=avg	2026-03-09 21:48:01
