experiment_id	top_n	n_quantiles	weight_mode	oos_metric	oos_weight_5	seed	oos_return_avg	oos_return_5	oos_return_60	oos_sharpe_5	oos_sharpe_60	oos_max_drawdown_5	oos_max_drawdown_60	oos_turnover_5	oos_turnover_60	fee_bps	best_exprs_sha256	data_end_ts	runner_version	status	description	timestamp
0	40	3	ic_weighted	avg	0.5	112449972	-0.1216442249174588	-0.3276461848017912	0.0843577349668736	-18.549102421644736	3.947666770745926	-0.34992717562082576	-0.07244657575107494	0.10698159083014935	0.2594142259414226	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=40 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:05:05
1	45	3	ic_weighted	avg	0.5	574832346	-0.12332156746151884	-0.33031815128748165	0.08367501636444397	-18.713892679805692	3.899533707050541	-0.354743948572495	-0.07244657575107494	0.10628690517540813	0.2594142259414226	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=45 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:05:09
2	40	5	ic_weighted	avg	0.5	231284486	-0.14851963274957541	-0.3527596393244047	0.055720373825253855	-24.348223373816456	2.978739305129147	-0.3519216046516498	-0.08183033779531557	0.0962139631816603	0.24686192468619247	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=40 n_quantiles=5 weight=ic_weighted metric=avg	2026-03-09 22:05:13
3	35	3	ic_weighted	avg	0.5	1829842088	-0.1177678065177617	-0.3033200730181508	0.06778445998262739	-17.047577805644135	3.2516883372041794	-0.3281282884384846	-0.0724465757510746	0.10142410559221952	0.2594142259414226	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=35 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:05:16
4	40	3	equal	avg	0.5	1204656741	-0.09079947447907638	-0.28161889516292826	0.1000199462047755	-15.624979310196721	4.525768732724406	-0.290225030101084	-0.06872286759699331	0.09551927752691906	0.301255230125523	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=40 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:20
5	45	3	equal	avg	0.5	526484295	-0.15591509827834643	-0.29630712657925995	-0.015523069977432913	-16.590367353138866	-0.4536294805041027	-0.3005805675756805	-0.08854714391355989	0.10003473428273706	0.30962343096234307	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=45 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:24
6	35	3	equal	avg	0.5	150059640	-0.08248293889059949	-0.2653306061520454	0.10036472837084642	-14.511450632324246	4.6736638226290745	-0.2805780730755477	-0.07244657575107483	0.09656130600903091	0.25523012552301255	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=35 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:27
7	10	3	equal	avg	0.5	1432668311	0.21330720222052302	0.18739745108409145	0.2392169533569546	8.699463337636384	9.450980285351935	-0.07002482118619213	-0.06560318411909372	0.012851684612712747	0.12552301255230125	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=10 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:31
8	10	5	equal	avg	0.5	626638979	0.09229455805254771	0.08174762910070332	0.10284148700439211	4.767752907406162	5.360810706824317	-0.06244764226700439	-0.06325909116993456	0.01597777005904828	0.100418410041841	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:05:34
9	15	3	equal	avg	0.5	1231384489	-0.12747151317931815	-0.3571633074583991	0.10222028109976278	-20.995185349884064	4.6799010925658795	-0.3641647204793558	-0.07012666037148985	0.11149704758596735	0.28870292887029286	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=15 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:38
10	10	3	ic_weighted	avg	0.5	1120278328	0.2113362107447334	0.18345546813251223	0.2392169533569546	8.533057996202555	9.450980285351935	-0.07002482118619213	-0.06560318411909372	0.012851684612712747	0.12552301255230125	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 22:05:41
11	10	5	equal	avg	0.5	1156461672	0.09229455805254771	0.08174762910070332	0.10284148700439211	4.767752907406162	5.360810706824317	-0.06244764226700439	-0.06325909116993456	0.01597777005904828	0.100418410041841	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:05:45
12	25	3	equal	avg	0.5	94768156	-0.16749687277359943	-0.39182810282914493	0.05683435728194608	-23.862475974892078	2.8096285637635576	-0.40079967069339173	-0.07128503113445495	0.1264327891629038	0.30962343096234307	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=25 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:48
13	15	3	equal	avg	0.5	45116017	-0.12747151317931815	-0.3571633074583991	0.10222028109976278	-20.995185349884064	4.6799010925658795	-0.3641647204793558	-0.07012666037148985	0.11149704758596735	0.28870292887029286	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=15 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:52
14	10	3	equal	avg	0.5	1666732859	0.21330720222052302	0.18739745108409145	0.2392169533569546	8.699463337636384	9.450980285351935	-0.07002482118619213	-0.06560318411909372	0.012851684612712747	0.12552301255230125	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	keep	top_n=10 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:05:56
15	10	5	equal	avg	0.5	1688094055	0.09229455805254771	0.08174762910070332	0.10284148700439211	4.767752907406162	5.360810706824317	-0.06244764226700439	-0.06325909116993456	0.01597777005904828	0.100418410041841	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:05:59
16	10	5	equal	avg	0.5	1079818303	0.09229455805254771	0.08174762910070332	0.10284148700439211	4.767752907406162	5.360810706824317	-0.06244764226700439	-0.06325909116993456	0.01597777005904828	0.100418410041841	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:06:03
17	30	3	equal	avg	0.5	1515584169	-0.10944195491964409	-0.323311471312108	0.10442756147281984	-18.82657111175015	4.795506374664232	-0.3370040300727404	-0.07670241731969774	0.11149704758596735	0.28451882845188287	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=30 n_quantiles=3 weight=equal metric=avg	2026-03-09 22:06:06
18	10	5	equal	avg	0.5	1126939725	0.09229455805254771	0.08174762910070332	0.10284148700439211	4.767752907406162	5.360810706824317	-0.06244764226700439	-0.06325909116993456	0.01597777005904828	0.100418410041841	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:06:10
19	10	5	equal	avg	0.5	455290400	0.09229455805254771	0.08174762910070332	0.10284148700439211	4.767752907406162	5.360810706824317	-0.06244764226700439	-0.06325909116993456	0.01597777005904828	0.100418410041841	10	f04e39b4e4feb91350125b14d01a2b9bca8e9ff452a01225a7a34be9608f93c2	2026-03-08 15:10:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=5 weight=equal metric=avg	2026-03-09 22:06:13
