experiment_id	top_n	n_quantiles	weight_mode	oos_metric	oos_weight_5	seed	oos_return_avg	oos_return_5	oos_return_60	oos_sharpe_5	oos_sharpe_60	oos_max_drawdown_5	oos_max_drawdown_60	oos_turnover_5	oos_turnover_60	fee_bps	best_exprs_sha256	data_end_ts	runner_version	status	description	timestamp
0	40	3	ic_weighted	avg	0.5	112449972	0.26230570530345443	0.22277222138678887	0.30183918922012	4.094957477304915	5.459895921597423	-0.06871127566363622	-0.0514569265983853	0.008565806227572637	0.07788595271210014	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=40 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 19:36:35
1	45	3	ic_weighted	avg	0.5	574832346	0.25748877889558064	0.2131383685710413	0.30183918922012	3.942040595406861	5.459895921597423	-0.07379932579673998	-0.0514569265983853	0.01018636416251881	0.07788595271210014	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=45 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 19:36:40
2	40	5	ic_weighted	avg	0.5	231284486	0.15337645688625134	0.15222131204078182	0.15453160173172087	3.7078557215452332	3.771763053091697	-0.06844620376190758	-0.05284759905157976	0.007292510707257785	0.059805285118219746	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=40 n_quantiles=5 weight=ic_weighted metric=avg	2026-03-09 19:36:43
3	35	3	ic_weighted	avg	0.5	1829842088	0.1792268761297272	0.1847445184890859	0.1737092337703685	3.484140770153377	3.4108706437588374	-0.07471807929749708	-0.06093540348626392	0.012964463479569395	0.09735744089012517	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=35 n_quantiles=3 weight=ic_weighted metric=avg	2026-03-09 19:36:47
4	40	3	equal	avg	0.5	1204656741	0.2806828904019356	0.24265956592465843	0.3187062148792128	4.499942823395368	5.784112951831839	-0.06332798418505425	-0.051456926598384745	0.007639773121889107	0.061196105702364396	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	keep	top_n=40 n_quantiles=3 weight=equal metric=avg	2026-03-09 19:36:51
5	45	3	equal	avg	0.5	526484295	0.2538379456676375	0.18896967645606222	0.3187062148792128	3.647940759436417	5.784112951831839	-0.07745875069608954	-0.051456926598384745	0.01018636416251881	0.061196105702364396	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=45 n_quantiles=3 weight=equal metric=avg	2026-03-09 19:36:55
6	35	3	equal	avg	0.5	150059640	0.20471667163624319	0.2055762677224724	0.20385707555001398	3.8249789502527203	3.936628119558293	-0.07471807929749641	-0.05846257501668273	0.012269938650306749	0.0917941585535466	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=35 n_quantiles=3 weight=equal metric=avg	2026-03-09 19:36:59
7	10	3	equal	avg	0.5	1432668311	0.1973485419767358	0.19304181407605592	0.20165526987741567	3.6377468937415727	3.888675078889644	-0.07164739853941748	-0.05846257501668306	0.01458502141451557	0.1043115438108484	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=10 n_quantiles=3 weight=equal metric=avg	2026-03-09 19:37:02
8	40	5	equal	avg	0.5	626638979	0.21125142767298843	0.20289447849691133	0.21960837684906553	4.745159120533068	5.158657904387884	-0.056339701585019886	-0.05145692659838508	0.005208936219469846	0.048678720445062586	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=40 n_quantiles=5 weight=equal metric=avg	2026-03-09 19:37:06
9	15	3	equal	avg	0.5	1231384489	0.1973485419767358	0.19304181407605592	0.20165526987741567	3.6377468937415727	3.888675078889644	-0.07164739853941748	-0.05846257501668306	0.01458502141451557	0.1043115438108484	10	0a05cb965c8c0da3fb3e7949cb062fd45db9d58e9d70e97ea1de95742a58c760	2026-03-08 17:40:00	autoresearch_genetic50_v2	discard	top_n=15 n_quantiles=3 weight=equal metric=avg	2026-03-09 19:37:10
